week,date,accuracy,f1_score,precision,recall,drift_detected,sample_count
1,2024-01-22T00:00:00,0.9,0.927536231884058,0.9142857142857143,0.9411764705882353,False,50
2,2024-01-29T00:00:00,0.98,0.9850746268656716,1.0,0.9705882352941176,False,50
3,2024-02-05T00:00:00,0.94,0.9538461538461539,0.96875,0.9393939393939394,False,50
4,2024-02-12T00:00:00,0.94,0.9552238805970149,0.9142857142857143,1.0,False,50
5,2024-02-19T00:00:00,0.98,0.9824561403508771,1.0,0.9655172413793104,False,50
6,2024-02-26T00:00:00,0.9,0.9333333333333333,1.0,0.875,False,20
7,2024-03-04T00:00:00,0.94,0.9491525423728814,0.9655172413793104,0.9333333333333333,False,50
8,2024-03-11T00:00:00,0.92,0.9459459459459459,0.9459459459459459,0.9459459459459459,False,50
9,2024-03-18T00:00:00,0.96,0.9696969696969697,0.9696969696969697,0.9696969696969697,False,50
10,2024-03-25T00:00:00,0.94,0.9552238805970149,0.9411764705882353,0.9696969696969697,False,50
11,2024-04-01T00:00:00,0.98,0.9836065573770492,0.967741935483871,1.0,False,50
12,2024-04-08T00:00:00,0.925,0.9433962264150944,1.0,0.8928571428571429,False,40
13,2024-04-15T00:00:00,0.92,0.9333333333333333,1.0,0.875,False,50
14,2024-04-22T00:00:00,0.9,0.927536231884058,0.9142857142857143,0.9411764705882353,False,50
15,2024-04-29T00:00:00,1.0,1.0,1.0,1.0,False,50
16,2024-05-06T00:00:00,0.94,0.9552238805970149,0.9696969696969697,0.9411764705882353,False,50
17,2024-05-13T00:00:00,0.94,0.9491525423728814,0.9032258064516129,1.0,False,50
18,2024-05-20T00:00:00,0.96,0.96875,1.0,0.9393939393939394,False,50
19,2024-05-27T00:00:00,0.9,0.9333333333333333,1.0,0.875,False,10
20,2024-06-03T00:00:00,0.92,0.9375,0.9375,0.9375,False,50
21,2024-06-10T00:00:00,0.94,0.9577464788732394,0.9714285714285714,0.9444444444444444,False,50
22,2024-06-17T00:00:00,0.96,0.96875,0.96875,0.96875,False,50
23,2024-06-24T00:00:00,0.9,0.9253731343283582,0.9117647058823529,0.9393939393939394,False,50
24,2024-07-01T00:00:00,0.98,0.9830508474576272,1.0,0.9666666666666667,False,50
